titulo_noticia;time_mais_citado;qtd_citacoes_time_mais_citado;qtd_total_palavras;qtd_times_citados;link
itu vai receber o jogo das estrelas lbf 2023;Sport/Uninassau/Inst. Todos;5;520;2;https://lbf.com.br/noticias/itu-vai-receber-o-jogo-das-estrelas-lbf-2023/
com apoio da torcida;SESI Araraquara Basquete;13;404;4;https://lbf.com.br/noticias/com-apoio-da-torcida/
agora deu ourinhos aobe;Unimed Campinas Basquete;14;544;5;https://lbf.com.br/noticias/agora-deu-ourinhos-aobe/
substituicao no jogo das estrelas;SESI Araraquara Basquete;4;540;4;https://lbf.com.br/noticias/substituicao-no-jogo-das-estrelas/
bra 104x47 uru vitoria centenaria e vaga na semi garantida;Sampaio Basquete;2;357;1;https://lbf.com.br/noticias/bra-104x47-uru-vitoria-centenaria-e-vaga-na-semi-garantida/
santo andre renova com trio;Santo André;10;351;1;https://lbf.com.br/noticias/santo-andre-renova-com-trio/
conheca o quinteto ideal lbf 2021;SESI Araraquara Basquete;4;859;5;https://lbf.com.br/noticias/conheca-o-quinteto-ideal-lbf-2021/
sesi araquara retoma vice lideranca;SESI Araraquara Basquete;23;534;4;https://lbf.com.br/noticias/sesi-araquara-retoma-vice-lideranca/
sodie doces lsb rj realiza desafio internacional com equipe argentina;Nenhum time identificado;0;353;0;https://lbf.com.br/noticias/sodie-doces-lsb-rj-realiza-desafio-internacional-com-equipe-argentina/
coletiva de imprensa finais lbf;Sport/Uninassau/Inst. Todos;4;524;1;https://lbf.com.br/noticias/coletiva-de-imprensa-finais-lbf/
guerreira dona do garrafao um coracao enorme;SESI Araraquara Basquete;5;618;1;https://lbf.com.br/noticias/guerreira-dona-do-garrafao-um-coracao-enorme/
sodie doceslsb rj conhece datas da sul americana;Sport/Uninassau/Inst. Todos;1;311;1;https://lbf.com.br/noticias/sodie-doceslsb-rj-conhece-datas-da-sul-americana/
sesi araraquara desbanca ad santo andre no abc;Santo André;32;783;5;https://lbf.com.br/noticias/sesi-araraquara-desbanca-ad-santo-andre-no-abc/
lbf caixa nas escolas sampaio basquete;Sampaio Basquete;3;234;2;https://lbf.com.br/noticias/lbf-caixa-nas-escolas-sampaio-basquete/
temos o campeao;SESI Araraquara Basquete;23;712;3;https://lbf.com.br/noticias/temos-o-campeao/
unimed campinas vence e elimina ponta grossa curso asb;Unimed Campinas Basquete;30;767;6;https://lbf.com.br/noticias/unimed-campinas-vence-e-elimina-ponta-grossa-curso-asb/
pela vaga nos playoffs;Pontz São José Basketball;87;893;3;https://lbf.com.br/noticias/pela-vaga-nos-playoffs/
